timestamp,action_type,location_name,target_id,nearest_obs,status
"2025-12-19T13:23:54.566Z","VIEW_WEATHER","(36.322801240637524, 129.4612762221021)","","부산","SUCCESS"
"2025-12-19T13:25:03.643Z","VIEW_WEATHER","(37.325517178835725, 126.59462751835342)","","인천","SUCCESS"
"2025-12-19T13:25:36.352Z","VIEW_WEATHER","(37.299270118932014, 129.12073887354325)","","강릉","SUCCESS"
"2025-12-19T13:25:45.527Z","VIEW_WEATHER","(37.316769177074065, 129.41728238045684)","","강릉","SUCCESS"
"2025-12-19T13:27:58.838Z","VIEW_WEATHER","(36.484642753882326, 129.69360351562503)","","강릉","SUCCESS"
"2025-12-19T13:29:45.666Z","VIEW_WEATHER","(37.4042033600714, 129.24155289487842)","","강릉","SUCCESS"
"2025-12-19T13:30:10.031Z","VIEW_WEATHER","(33.612343548527846, 126.61670693872291)","","제주","SUCCESS"
"2025-12-19T13:40:02.493Z","VIEW_WEATHER","(37.01873183265426, 128.54961804541338)","","강릉","SUCCESS"
"2025-12-19T13:40:58.618Z","VIEW_WEATHER","(36.484642753882326, 129.69360351562503)","","강릉","SUCCESS"
"2025-12-19T13:41:31.222Z","VIEW_WEATHER","(36.484642753882326, 129.69360351562503)","","강릉","SUCCESS"
"2025-12-19T13:41:41.791Z","VIEW_WEATHER","(36.484642753882326, 129.69360351562503)","","강릉","SUCCESS"
"2025-12-19T13:43:12.562Z","VIEW_WEATHER","(36.484642753882326, 129.69360351562503)","","강릉","SUCCESS"
"2025-12-19T13:43:27.757Z","VIEW_WEATHER","(36.484642753882326, 129.69360351562503)","","강릉","SUCCESS"
"2025-12-19T13:43:46.133Z","VIEW_WEATHER","(36.484642753882326, 129.69360351562503)","","강릉","SUCCESS"
"2025-12-19T13:44:02.550Z","VIEW_WEATHER","(36.484642753882326, 129.69360351562503)","","강릉","SUCCESS"
"2025-12-19T13:44:27.168Z","VIEW_WEATHER","(36.484642753882326, 129.69360351562503)","","강릉","SUCCESS"
"2025-12-19T13:47:25.169Z","VIEW_WEATHER","(37.33426416227728, 129.32941763766766)","","강릉","SUCCESS"
"2025-12-19T13:47:42.141Z","VIEW_WEATHER","(37.325517178835725, 126.34201638283446)","","안산","SUCCESS"
"2025-12-19T13:49:13.459Z","VIEW_WEATHER","(37.080188519050814, 126.61659370405071)","","안산","SUCCESS"
"2025-12-19T14:04:59.886Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T14:05:00.907Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T14:05:11.785Z","VIEW_WEATHER","(37.41437577622474, 129.12231445312503)","","강릉","SUCCESS"
"2025-12-19T14:05:21.501Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T14:05:21.855Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T14:11:16.868Z","VIEW_WEATHER","(35.1, 129.1)","","부산","SUCCESS"
"2025-12-19T14:11:33.765Z","VIEW_WEATHER","(35.1, 129.1)","","부산","SUCCESS"
"2025-12-19T14:14:06.320Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T14:14:06.343Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
"2025-12-19T14:14:44.782Z","VIEW_WEATHER","(37.24856109989848, 129.32006835937503)","","강릉","SUCCESS"
"2025-12-19T14:14:54.021Z","VIEW_WEATHER","(35.6374999, 129.3517382)","","부산","SUCCESS"
